round,id_dt_ib,iso,name_dt_round,names
cen1951,0583,TN,ramanathapuram,ramanathapuram
cen1951,0584,TN,salem,salem
cen1951,0592,TN,tirunelveli,"tirunelveli,t"
cen1951,99900268,TN,anantapur,anantapur
cen1951,99900269,TN,bellary,bellary
cen1951,99900271,TN,chingleput,chingleput
cen1951,99900272,TN,chittoor,chittoor
cen1951,99900273,TN,cuddapah,cuddapah
cen1951,99900275,TN,eastgodavari,eastgodavari
cen1951,99900276,TN,guntur,guntur
cen1951,99900279,TN,krishna,krishna
cen1951,99900280,TN,kurnool,"kurnool,anantapurandkurnool"
cen1951,99900281,TN,madras,madras
cen1951,99900282,TN,malabar,malabar
cen1951,99900283,TN,nellore,"nellore,nellohe"
cen1951,99900285,TN,nilgiris,"nilgiri,nilgiris"
cen1951,99900286,TN,northarcot,northarcot
cen1951,99900289,TN,southarcot,southarcot
cen1951,99900290,TN,southkanara,southkanara
cen1951,99900291,TN,srikakulam,srikakulam
cen1951,99900292,TN,tanjore,"thanjavur,tanjore"
cen1951,99900294,TN,tiruchirapalli,tiruchirapalli
cen1951,99900298,TN,vizagapatanam,"visakhapatnam,vizagapatanam"
cen1951,99900299,TN,westgodavari,westgodavari
cen1951,99900300,TR,tripura,tripura
cen1951,0118,UP,agra,agra
cen1951,0119,UP,aligarh,aligarh
cen1951,0123,UP,azamgarh,azamgarh
cen1951,0125,UP,bahraich,bahraich
cen1951,0126,UP,ballia,ballia
cen1951,0128,UP,banda,banda
cen1951,0129,UP,barabanki,barabanki
cen1951,0130,UP,bareilly,bareilly
cen1951,0131,UP,basti,basti
cen1951,0132,UP,bijnor,bijnor
cen1951,0133,UP,budaun,"budaun,buduan,badaun"
cen1951,0134,UP,bulandshahr,bulandshahr
cen1951,0137,UP,deoria,deoria
cen1951,0138,UP,etah,etah
cen1951,0139,UP,etawah,etawah
cen1951,0141,UP,farrukhabad,"farrukhabad,farukhabad"
cen1951,0142,UP,fatehpur,fatehpur
cen1951,0146,UP,ghazipur,ghazipur
cen1951,0147,UP,gonda,gonda
cen1951,0148,UP,gorakhpur,gorakhpur
cen1951,0149,UP,hamirpur,hamirpur
cen1951,0150,UP,hardoi,hardoi
cen1951,0151,UP,jalaun,jalaun
cen1951,0152,UP,jaunpur,jaunpur
cen1951,0153,UP,jhansi,jhansi
cen1951,0159,UP,kheri,"kheri,kherl"
cen1951,0162,UP,lucknow,lucknow
cen1951,0166,UP,mainpuri,mainpuri
cen1951,0167,UP,mathura,mathura
cen1951,0169,UP,meerut,meerut
cen1951,0170,UP,mirzapur,mirzapur
cen1951,0171,UP,moradabad,moradabad
cen1951,0172,UP,muzaffarnagar,muzaffarnagar
cen1951,0173,UP,pilibhit,"pilibhit,pilibhlt"
cen1951,0174,UP,pratapgarh,pratapgarh
cen1951,0175,UP,raebareli,raebareli
cen1951,0176,UP,rampur,rampur
cen1951,0177,UP,saharanpur,saharanpur
cen1951,0180,UP,shahjahanpur,shahjahanpur
cen1951,0183,UP,sitapur,sitapur
cen1951,0185,UP,sultanpur,sultanpur
cen1951,0186,UP,unnao,unnao
cen1951,99900301,UP,allahabad,allahabad
cen1951,99900302,UP,almora,almora
cen1951,99900303,UP,banares,"varanasi,banares,banaras"
cen1951,99900305,UP,dehra,"dehradun,dehr"
cen1951,99900307,UP,faizabad,"faizabad,fijzabad"
cen1951,99900308,UP,garhwal,"garhwal,gurhwal"
cen1951,99900311,UP,kanpur,kanpur
cen1951,99900315,UP,nainital,nainital
cen1951,99900321,UP,tehrigarhwal,tehrigarhwal
cen1951,0305,WB,bankura,bankura
cen1951,0307,WB,birbhum,birbhum
cen1951,0308,WB,coochbehar,"coochbehar,cooch"
cen1951,0309,WB,darjeeling,darjeeling
cen1951,0312,WB,hooghly,hooghly
cen1951,0313,WB,howrah,howrah
cen1951,0314,WB,jalpaiguri,jalpaiguri
cen1951,0316,WB,malda,malda
cen1951,0319,WB,murshidabad,murshidabad
cen1951,0320,WB,nadia,nadia
cen1951,99900327,WB,burdwan,burdwan
cen1951,99900328,WB,calcutta,calcutta
cen1951,99900336,WB,midnapur,"midnapore,midnapur"
cen1951,99900340,WB,twentyfourparganas,"twentyfourparganas,parganas,24parganas,24-paraganas,twetyfourparganas"
cen1951,99900341,WB,westdinajpur,westdinajpur
cen1961,99900002,AN,andamannicobarislands,andamannicobarislands
cen1961,0503,AP,chittoor,chittoor
cen1961,0505,AP,eastgodavari,eastgodavari
cen1961,0506,AP,guntur,guntur
cen1961,0510,AP,krishna,krishna
cen1961,0511,AP,kurnool,kurnool
cen1961,0519,AP,srikakulam,srikakulam
