id_dt_ib,name_dt_ib,iso,from_year,to_year,is_current
0325,dhanbad,JH,2001,9999,1
0326,dumka,JH,2001,9999,1
0327,eastsinghbum,JH,2011,9999,1
0328,garhwa,JH,2001,9999,1
0329,giridih,JH,2001,9999,1
0330,godda,JH,2001,9999,1
0331,gumla,JH,2001,9999,1
0332,hazaribagh,JH,2001,9999,1
0333,jamtara,JH,2001,9999,1
0334,koderma,JH,2011,9999,1
0335,latehar,JH,2001,9999,1
0336,lohardaga,JH,2001,9999,1
0337,pakur,JH,2001,9999,1
0338,palamu,JH,2001,9999,1
0339,ranchi,JH,2001,9999,1
0340,sahebganj,JH,2011,9999,1
0341,saraikelakharsawan,JH,2001,9999,1
0342,simdega,JH,2001,9999,1
0343,westsinghbhum,JH,2011,9999,1
0344,anugul,OR,2001,9999,1
0345,balangir,OR,2001,9999,1
0346,baleshwar,OR,1981,9999,1
0347,bargarh,OR,2001,9999,1
0348,bhadrak,OR,2001,9999,1
0349,boudh,OR,2011,9999,1
0350,cuttack,OR,1951,9999,1
0351,deogarh,OR,2011,9999,1
0352,dhenkanal,OR,1951,9999,1
0353,gajapati,OR,2001,9999,1
0354,ganjam,OR,1951,9999,1
0355,jagatsinghapur,OR,2001,9999,1
0356,jajapur,OR,2001,9999,1
0357,jharsuguda,OR,2001,9999,1
0358,kalahandi,OR,1951,9999,1
0359,kandhamal,OR,2001,9999,1
0360,kendrapara,OR,2001,9999,1
0361,kendujhar,OR,2001,9999,1
0362,khordha,OR,2001,9999,1
0363,koraput,OR,1951,9999,1
0364,malkangiri,OR,2001,9999,1
0365,mayurbhanj,OR,1951,9999,1
0366,nabarangpur,OR,2011,9999,1
0367,nayagarh,OR,2001,9999,1
0368,nuapada,OR,2001,9999,1
0369,puri,OR,1951,9999,1
0370,rayagada,OR,2001,9999,1
0371,sambalpur,OR,1951,9999,1
0372,sonepur,OR,2011,9999,1
0373,sundargarh,OR,1951,9999,1
0374,bastar,CT,2001,9999,1
0375,bilaspur,CT,2001,9999,1
0376,dakshinbastardantewada,CT,2001,9999,1
0377,dhamtari,CT,2001,9999,1
0378,durg,CT,2001,9999,1
0379,janjgirchampa,CT,2001,9999,1
0380,jashpur,CT,2001,9999,1
0381,uttarbastarkanker,CT,2001,9999,1
0382,kabeerdham,CT,2001,9999,1
0383,korba,CT,2001,9999,1
0384,korea,CT,2011,9999,1
0385,mahasamund,CT,2001,9999,1
0386,raigarh,CT,2001,9999,1
0387,raipur,CT,2001,9999,1
0388,rajnandgaon,CT,2001,9999,1
0389,surguja,CT,2001,9999,1
0390,anuppur,MP,2001,9999,1
0391,ashoknagar,MP,2001,9999,1
0392,balaghat,MP,1951,9999,1
0393,barwani,MP,2001,9999,1
0394,betul,MP,1951,9999,1
0395,bhind,MP,1951,9999,1
0396,bhopal,MP,1981,9999,1
0397,burhanpur,MP,2001,9999,1
0398,chhatarpur,MP,1951,9999,1
0399,chhindwara,MP,1951,9999,1
0400,damoh,MP,1961,9999,1
0401,datia,MP,1951,9999,1
0402,dewas,MP,1951,9999,1
0403,dhar,MP,1951,9999,1
0404,dindori,MP,2001,9999,1
0405,eastnimar,MP,1961,9999,1
0406,guna,MP,1961,9999,1
0407,gwalior,MP,1961,9999,1
0408,harda,MP,2001,9999,1
0409,narmadapuram,MP,2011,9999,1
0410,indore,MP,1951,9999,1
0411,jabalpur,MP,1951,9999,1
0412,jhabua,MP,1951,9999,1
0413,katni,MP,2001,9999,1
0414,khargone,MP,1971,9999,1
0415,mandla,MP,1951,9999,1
0416,mandsaur,MP,1951,9999,1
0417,morena,MP,1951,9999,1
0418,narsinghpur,MP,2011,9999,1
0419,neemuch,MP,2001,9999,1
0420,panna,MP,1951,9999,1
0421,raisen,MP,1951,9999,1
0422,rajgarh,MP,1951,9999,1
0423,ratlam,MP,1951,9999,1
0424,rewa,MP,1951,9999,1
0425,sagar,MP,1951,9999,1
0426,satna,MP,1951,9999,1
0427,sehore,MP,1951,9999,1
0428,seoni,MP,1961,9999,1
0429,shahdol,MP,1951,9999,1
0430,shajapur,MP,1951,9999,1
0431,sheopur,MP,2001,9999,1
0432,shivpuri,MP,1951,9999,1
0433,sidhi,MP,1951,9999,1
0434,tikamgarh,MP,1951,9999,1
0435,ujjain,MP,1951,9999,1
0436,umaria,MP,2001,9999,1
0437,vidisha,MP,1971,9999,1
0438,ahmadabad,GJ,2011,9999,1
0439,amreli,GJ,1961,9999,1
0440,anand,GJ,2001,9999,1
0441,banaskantha,GJ,1961,9999,1
