year,dist,iso,names
1961,"chandrapur","MH","chandrapur,chanda"
1961,"dhulia","MH","dhulia"
1961,"greaterbombay","MH","greaterbombay"
1961,"jalgaon","MH","jalgaon"
1961,"kolaba","MH","kolaba"
1961,"kolhapur","MH","kolhapur"
1961,"nagpur","MH","nagpur"
1961,"nanded","MH","nanded"
1961,"nasik","MH","nasik"
1961,"osmanabad","MH","osmanabad"
1961,"parbhani","MH","parbhani"
1961,"poona","MH","poona"
1961,"ratnagiri","MH","ratnagiri"
1961,"sangli","MH","sangli"
1961,"satara","MH","satara"
1961,"sholapur","MH","sholapur"
1961,"thana","MH","thana"
1961,"wardha","MH","wardha"
1961,"yeotmal","MH","yeotmal,yeotma"
1961,"manipur","MN","manipur"
1961,"bangalore","KA","bangalore"
1961,"belgaum","KA","belgaon,belgaum"
1961,"bellary","KA","bellary"
1961,"bidar","KA","bidar"
1961,"bijapur","KA","bijapur"
1961,"chikmagalur","KA","chikmagalur"
1961,"chitradurga","KA","chitradurga"
1961,"coorg","KA","coorg,goorgordodagu"
1961,"dharwar","KA","dharwad,dharwar"
1961,"gulbarga","KA","gulbarga"
1961,"hassan","KA","hassan"
1961,"kolar","KA","kolar"
1961,"mandya","KA","mandya"
1961,"mysore","KA","mysore"
1961,"northkanara","KA","northkanara"
1961,"raichur","KA","raichur"
1961,"shimoga","KA","shimoga"
1961,"southkanara","KA","southkanara"
1961,"tumkur","KA","tumkur"
1961,"kohima","NL","kohima"
1961,"mokokchung","NL","mokokchung"
1961,"tuensang","NL","tuensang"
1961,"kameng","AR","kameng"
1961,"lohit","AR","lohit"
1961,"siang","AR","siang"
1961,"subansiri","AR","subansiri"
1961,"tirap","AR","tirap"
1961,"balasore","OR","balasore"
1961,"baudhkhondmals","OR","baudhkhondmals"
1961,"bolangir","OR","bolangir"
1961,"cuttack","OR","cuttack"
1961,"dhenkanal","OR","dhenkanal"
1961,"ganjam","OR","ganjam"
1961,"kalahandi","OR","kalahandi"
1961,"keonjhar","OR","keonjhar"
1961,"koraput","OR","koraput"
1961,"mayurbhanj","OR","mayurbhanj"
1961,"puri","OR","puri,purl"
1961,"sambalpur","OR","sambalpur"
1961,"sundargarh","OR","sundargarh"
1961,"karaikal","PY","karaikal"
1961,"mahe","PY","mahe"
1961,"pondicherry","PY","pondicherry"
1961,"yanam","PY","yanam"
1961,"ambala","PB","ambala"
1961,"amritsar","PB","amritsar"
1961,"bhatinda","PB","bhatinda"
1961,"ferozepur","PB","ferozepur"
1961,"gurdaspur","PB","gurdaspur"
1961,"gurgaon","PB","gurgaon"
1961,"hissar","PB","hissar"
1961,"hoshiarpur","PB","hoshiarpur"
1961,"jullundur","PB","jullundur"
1961,"kangra","PB","kangara,kangra"
1961,"kapurthala","PB","kapurthala"
1961,"karnal","PB","karnal"
1961,"lahaul&spiti","PB","lahaulspiti,lahulspiti"
