round,id_st_ib,name_st_round,names
cen2011,32,kerala,"kerala,kekerala,kerela,kl,travancorecochin,ke"
cen2011,33,tamilnadu,"tamilnadu,tntamilnadu,tn,madras"
cen2011,34,pondicherry,"puducherry,pondicherry,pondi,py,pondicherryfrench"
cen2011,35,andamannicobarislands,"andamannicobarislands,andamannicobarisland,anislands,andamannicobar,an,andamansnicobars,andamanandnicobar,andmanandnocobarislands,andamanandnicobarislands"
lgd,01,jammukashmir,"jammu,jammuandkashmir,jammukashmir,jk,jmjammukashmir,ladakh"
lgd,02,himachalpradesh,"bilaspur,himachal,himachalpradesh,hp,hphimachalpradesh"
lgd,03,punjab,"panjab,pb,pjpunjab,punjab,simla"
lgd,04,chandigarh,"chandigarh,sahibzadaajitsinghnagar"
lgd,05,uttarakhand,"uk,ut,uttarakhand,uttaranchal,uttrakhand,uttranchal"
lgd,06,haryana,"haryana,hr,hrharyana"
lgd,07,delhi,"delhi,delhincr,dl,dldelhi,nationalcapitalterritorydelhi,nct,nctdelhi,nctofdelhi,newdelhi"
lgd,08,rajasthan,"rajasthan,rj,rjrajasthan"
lgd,09,uttarpradesh,"up,uputtarpradesh,uttarapradesh,uttarpradesh"
lgd,10,bihar,"bh,bhbihar,bihar,br"
lgd,11,sikkim,"districtsikkim,gangtok,sikkim,sk,sksikkim"
lgd,12,arunachalpradesh,"ar,ararunachalpradesh,arp,arunachalpradesh,arunancalpredesh,arunanchalpradesh,nefa,northeastfrontieragency"
lgd,13,nagaland,"nagahills,nagahillstuensangarea,nagaland,nanagaland,nl"
lgd,14,manipur,"mamanipur,manipur,mn,mnp"
lgd,15,mizoram,"mizohills,mizoram,mz"
lgd,16,tripura,"agartala,tp,tr,tripura,trtripura"
lgd,17,meghalaya,"meghalay,meghalaya,mgh,shillong"
lgd,18,assam,"as,asassam,assam"
lgd,19,westbengal,"wb,wbwestbengal,westbengal"
lgd,20,jharkhand,"jh,jharkhand"
lgd,21,odisha,"odisha,or,orissa,ororissa"
lgd,22,chhattisgarh,"cg,chattisgarh,chhatisgarh,chhattisgarh,ct"
lgd,23,madhyapradesh,"madhyapradesh,madhypradesh,mp,mpmadhyapradesh"
lgd,24,gujarat,"gj,gjgujarat,gujarat,gujrat,kutch,saurashtra"
lgd,25,damandiu,"daman,damananddiu,damandiu,diu"
lgd,26,dadranagarhaveli,"dadraandnagarhaveli,dadranagarhaveli,dnhaveli,silvassa,thedadraandnagarhavelianddamananddiu"
lgd,27,maharashtra,"maharashtra,maharastra,mh,mhmaharashtra,ms"
lgd,28,andhrapradesh,"andhrapradesh,ap,apandhrapradesh,telangana"
lgd,29,karnataka,"ka,kakarnataka,karnataka,mysore,mysuru"
lgd,30,goa,"goa,goadamandiu"
lgd,31,lakshadweep,"districtlakshadweep,kavaratti,laccadive,laccadiveminicoiamindiviislands,laccadiveminicoyamindiviislands,lakshadweep,lakshadwep,lakshdweep,ld"
lgd,32,kerala,"ke,kekerala,kerala,kerela,kl,travancorecochin"
lgd,33,tamilnadu,"madras,tamilnadu,tn,tntamilnadu"
lgd,34,pondicherry,"districtpuducherry,pondi,pondicherry,pondicherryfrench,puducherry,py"
lgd,35,andamannicobarislands,"an,andamanandnicobar,andamanandnicobarislands,andamannicobar,andamannicobarisland,andamannicobarislands,andamansnicobars,andmanandnocobarislands,anisland,anislands,portblair"
lgd,36,telangana,"telangana,tg,telengana"
lgd,37,ladakh,"ladakh,la"
